Y,X,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,REGC2006_V1_00,Shape_Length,AREA_SQ_KM,LAND_AREA_SQ_KM,REGC2006_V1_00_NAME
-35.3443992021959,173.73846339663,Northland Region,,,,,,"-1","0","-1",,,"01","825539.301506","30078.4342085","12497.9322588",Northland Region
-36.5283639002594,174.871942530291,Auckland Region,,,,,,"-1","0","-1",,,"02","645956.976314","16284.4294192","5030.15457488",Auckland Region
-37.8164418942428,175.43784817813,Waikato Region,,,,,,"-1","0","-1",,,"03","1256464.63957","34732.1063372","23796.4116312",Waikato Region
-37.8972274308429,176.863031047369,Bay of Plenty Region,,,,,,"-1","0","-1",,,"04","1092168.12651","21883.3084593","12070.5474829",Bay of Plenty Region
-38.218821866132,178.113130204694,Gisborne Region,,,,,,"-1","0","-1",,,"05","694443.941598","13989.5581844","8385.57345837",Gisborne Region
-39.4413521117553,176.963835155859,Hawke's Bay Region,,,,,,"-1","0","-1",,,"06","928860.208725","21444.0094388","14136.6119162",Hawke's Bay Region
-39.346500763667,174.278616629495,Taranaki Region,,,,,,"-1","0","-1",,,"07","564393.871624","12696.9551888","7254.25102925",Taranaki Region
-39.8269927718324,175.556442141435,Manawatu-Wanganui Region,,,,,,"-1","0","-1",,,"08","1176541.98359","25322.4369928","22221.0308617",Manawatu-Wanganui Region
-41.1782682610644,175.416899253533,Wellington Region,,,,,,"-1","0","-1",,,"09","579064.042376","15945.1800171","8048.34423057",Wellington Region
-42.7481014274369,170.691032780477,West Coast Region,,,,,,"-1","0","-1",,,"12","1581671.5226","36340.6481904","23244.7134377",West Coast Region
-43.5734881218436,171.797222530907,Canterbury Region,,,,,,"-1","0","-1",,,"13","1542417.79685","56770.4805893","44504.9713643",Canterbury Region
-45.3837495956419,169.694315364162,Otago Region,,,,,,"-1","0","-1",,,"14","1276781.72189","38411.1611598","31206.4720312",Otago Region
-45.990468315892,167.74621030298,Southland Region,,,,,,"-1","0","-1",,,"15","1402777.00962","55207.6023567","31190.5625276",Southland Region
-41.1756799941518,172.725450126893,Tasman Region,,,,,,"-1","0","-1",,,"16","759021.439573","14800.6370346","9616.2626144",Tasman Region
-41.1133985795463,173.396404856416,Nelson Region,,,,,,"-1","0","-1",,,"17","169183.050166","1233.66571233","423.59828817",Nelson Region
-41.4679598614035,173.775719063619,Marlborough Region,,,,,,"-1","0","-1",,,"18","765676.58756","17691.2579336","10459.8423842",Marlborough Region
-34.1710408104854,172.100956614322,Area Outside Region,,,,,,"-1","0","-1",,,"99","167590.024645","2174.43102166","2174.43102166",Area Outside Region
